run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	bam_ftp
DRR513397	PRJDB17024	SAMD00657332	DRX497283	408170	human gut metagenome	886619751de8fbc72d4d5d4d31795ea1;e97bd1bb1435f634282fa1f249d44257	ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513397/DRR513397_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513397/DRR513397_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513397/DRR513397_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513397/DRR513397_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR513/DRR513397/DRR513397	
DRR513400	PRJDB17024	SAMD00657335	DRX497286	408170	human gut metagenome	af164766c31219de12d2c89391c7a0a2;76c776b0fbf85b4931aacad8c9141670	ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513400/DRR513400_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513400/DRR513400_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513400/DRR513400_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513400/DRR513400_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR513/DRR513400/DRR513400	
DRR513403	PRJDB17024	SAMD00657338	DRX497289	408170	human gut metagenome	bc9fd98601d362526e63a48c8ca3b482;982c7ac4850e73c8b512ec4851b5d12d	ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513403/DRR513403_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513403/DRR513403_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513403/DRR513403_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513403/DRR513403_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR513/DRR513403/DRR513403	
DRR513407	PRJDB17024	SAMD00657342	DRX497293	408170	human gut metagenome	1be2c01d9d189ffc1c5739b4472a6ee0;1ea6a07cb8c4e5d1f62f8ed9e3f0fbfd	ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513407/DRR513407_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513407/DRR513407_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513407/DRR513407_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513407/DRR513407_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR513/DRR513407/DRR513407	
DRR513409	PRJDB17024	SAMD00657344	DRX497295	408170	human gut metagenome	d1a69bf5ff7492722299f7a75f95d359;04229223c01689b256984d0396d8136d	ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513409/DRR513409_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513409/DRR513409_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513409/DRR513409_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513409/DRR513409_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR513/DRR513409/DRR513409	
DRR513418	PRJDB17024	SAMD00657353	DRX497304	408170	human gut metagenome	fb74f946e119f8b0dae107071d06f450;d8ef53f8cc14dd1056a183290f61e9dd	ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513418/DRR513418_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513418/DRR513418_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513418/DRR513418_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513418/DRR513418_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR513/DRR513418/DRR513418	
DRR513425	PRJDB17024	SAMD00657360	DRX497311	408170	human gut metagenome	4d2084d305bca38081f0503c272254cd;d5a4b780fe77b75ab7a79321fb264281	ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513425/DRR513425_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513425/DRR513425_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513425/DRR513425_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513425/DRR513425_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR513/DRR513425/DRR513425	
DRR513432	PRJDB17024	SAMD00657367	DRX497318	408170	human gut metagenome	6c6890d8b530a1c7ae496c432cc215fc;996c7d5aaed6aaf6c22cbe917f893074	ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513432/DRR513432_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513432/DRR513432_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513432/DRR513432_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513432/DRR513432_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR513/DRR513432/DRR513432	
DRR513433	PRJDB17024	SAMD00657368	DRX497319	408170	human gut metagenome	b8d8f189c85d66c9f988ab9bc636c770;98214b7429669ae0caf4df73cf932ae0	ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513433/DRR513433_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513433/DRR513433_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513433/DRR513433_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513433/DRR513433_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR513/DRR513433/DRR513433	
DRR513434	PRJDB17024	SAMD00657369	DRX497320	408170	human gut metagenome	48f73d91fb4751904a530c863e123441;6f2b623e816ddb3c648c0d8d896e7695	ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513434/DRR513434_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/DRR513/DRR513434/DRR513434_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513434/DRR513434_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/DRR513/DRR513434/DRR513434_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/drr/DRR513/DRR513434/DRR513434	
