run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	bam_ftp
SRR31997437	PRJNA1210544	SAMN46247823	SRX27350650	9606	Homo sapiens	71eaf81b57fe6c0a4345e63050b974c0;78fe78c6c536022806be17d184dab2bb	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/037/SRR31997437/SRR31997437_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/037/SRR31997437/SRR31997437_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/037/SRR31997437/SRR31997437_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/037/SRR31997437/SRR31997437_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/037/SRR31997437/SRR31997437	
SRR31997441	PRJNA1210544	SAMN46247819	SRX27350646	9606	Homo sapiens	d19ba1c84cb6d9e2bc23eb9084b1ccc2;7e7363132db7efeefa5aba46bf1a562c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/041/SRR31997441/SRR31997441_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/041/SRR31997441/SRR31997441_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/041/SRR31997441/SRR31997441_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/041/SRR31997441/SRR31997441_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/041/SRR31997441/SRR31997441	
SRR31997447	PRJNA1210544	SAMN46247844	SRX27350640	9606	Homo sapiens	e39bdb52b4b20f626b4741ffd832ef0c;3f7aa265d7e59cabd4be693b7595978d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/047/SRR31997447/SRR31997447_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/047/SRR31997447/SRR31997447_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/047/SRR31997447/SRR31997447_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/047/SRR31997447/SRR31997447_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/047/SRR31997447/SRR31997447	
SRR31997457	PRJNA1210544	SAMN46247835	SRX27350630	9606	Homo sapiens	06364bbbc47d6e1eb1304cb89e103bf9;04d0826ec477750f29e1cd0cf99cc463	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/057/SRR31997457/SRR31997457_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/057/SRR31997457/SRR31997457_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/057/SRR31997457/SRR31997457_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/057/SRR31997457/SRR31997457_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/057/SRR31997457/SRR31997457	
SRR31997462	PRJNA1210544	SAMN46247831	SRX27350625	9606	Homo sapiens	da0376d8fe5cfd8e08a3a3efc776b384;f6bab19336b943e0cbcda475a4b52885	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/062/SRR31997462/SRR31997462_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/062/SRR31997462/SRR31997462_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/062/SRR31997462/SRR31997462_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/062/SRR31997462/SRR31997462_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/062/SRR31997462/SRR31997462	
SRR31997470	PRJNA1210544	SAMN46247815	SRX27350617	9606	Homo sapiens	6c4f053dd22e7aed5161699dd48b51c4;7f48ae1625218bcd240b0b67bd0baf4c	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/070/SRR31997470/SRR31997470_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/070/SRR31997470/SRR31997470_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/070/SRR31997470/SRR31997470_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/070/SRR31997470/SRR31997470_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/070/SRR31997470/SRR31997470	
SRR31997438	PRJNA1210544	SAMN46247822	SRX27350649	9606	Homo sapiens	811704f7d2c1cb50edebc62e49e48731;284d3dbcd6b51091f35a88cd8c4dd0c6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/038/SRR31997438/SRR31997438_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/038/SRR31997438/SRR31997438_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/038/SRR31997438/SRR31997438_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/038/SRR31997438/SRR31997438_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/038/SRR31997438/SRR31997438	
SRR31997439	PRJNA1210544	SAMN46247821	SRX27350648	9606	Homo sapiens	864082a02f3ddb08bf1faa6a44067ac3;088a26517f9c89462e8f18bba164cd64	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/039/SRR31997439/SRR31997439_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/039/SRR31997439/SRR31997439_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/039/SRR31997439/SRR31997439_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/039/SRR31997439/SRR31997439_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/039/SRR31997439/SRR31997439	
SRR31997440	PRJNA1210544	SAMN46247820	SRX27350647	9606	Homo sapiens	2e2d3ec31eb91f8588b7ed1f84f04c49;7f0d5546f6ed8a797fddc1dc8835619b	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/040/SRR31997440/SRR31997440_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/040/SRR31997440/SRR31997440_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/040/SRR31997440/SRR31997440_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/040/SRR31997440/SRR31997440_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/040/SRR31997440/SRR31997440	
SRR31997442	PRJNA1210544	SAMN46247818	SRX27350645	9606	Homo sapiens	c573363dcd479e98b10cbea7c3aa186b;ef5e1c5baa79b010eab11fb0cbf77945	ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/042/SRR31997442/SRR31997442_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/SRR319/042/SRR31997442/SRR31997442_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/042/SRR31997442/SRR31997442_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/SRR319/042/SRR31997442/SRR31997442_2.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR319/042/SRR31997442/SRR31997442	
