run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	bam_ftp
ERR3346988	PRJEB32675	SAMEA5625027	ERX3371562	408170	human gut metagenome	6af31d6d2d0611ec2f6ced6f9004d876;3f7d100a4ab565723cb59f3e85684e3a	ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/008/ERR3346988/ERR3346988_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/008/ERR3346988/ERR3346988_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/008/ERR3346988/ERR3346988_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/008/ERR3346988/ERR3346988_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3346988/T131_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3346988/T131_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR334/008/ERR3346988	
ERR3346995	PRJEB32675	SAMEA5625034	ERX3371569	408170	human gut metagenome	684aaeab7ea6f8f49929e2253099ed2b;bd41c2f5ca38c743e43f5da060e9674c	ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/005/ERR3346995/ERR3346995_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/005/ERR3346995/ERR3346995_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/005/ERR3346995/ERR3346995_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/005/ERR3346995/ERR3346995_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3346995/T188_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3346995/T188_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR334/005/ERR3346995	
ERR3347000	PRJEB32675	SAMEA5625039	ERX3371574	408170	human gut metagenome	bc04eca6b20ec7c49efbeda3f4466b9f;96c59796f5911853c46ef63ab5fa40d5	ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/000/ERR3347000/ERR3347000_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/000/ERR3347000/ERR3347000_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/000/ERR3347000/ERR3347000_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/000/ERR3347000/ERR3347000_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347000/T215_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347000/T215_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR334/000/ERR3347000	
ERR3347001	PRJEB32675	SAMEA5625040	ERX3371575	408170	human gut metagenome	a81830d59977150b953a49d26d3f3fc4;d3ab669e9bb85fe4fbc61f798be24e09	ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/001/ERR3347001/ERR3347001_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/001/ERR3347001/ERR3347001_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/001/ERR3347001/ERR3347001_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/001/ERR3347001/ERR3347001_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347001/T29_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347001/T29_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR334/001/ERR3347001	
ERR3347003	PRJEB32675	SAMEA5625042	ERX3371577	408170	human gut metagenome	bb07e91dab3b161649b9ae13c61eb304;68ed37e5765789cac8ef44d4fc2950e3	ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/003/ERR3347003/ERR3347003_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/003/ERR3347003/ERR3347003_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/003/ERR3347003/ERR3347003_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/003/ERR3347003/ERR3347003_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347003/T311_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347003/T311_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR334/003/ERR3347003	
ERR3347007	PRJEB32675	SAMEA5625046	ERX3371581	408170	human gut metagenome	c054c4bb527af905ba642cfd0961bb5c;0dc663cf90bda6ccb5a67fc6f8e129b0	ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/007/ERR3347007/ERR3347007_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/007/ERR3347007/ERR3347007_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/007/ERR3347007/ERR3347007_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/007/ERR3347007/ERR3347007_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347007/T359_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347007/T359_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR334/007/ERR3347007	
ERR3347014	PRJEB32675	SAMEA5625053	ERX3371588	408170	human gut metagenome	3206d35b646787a4880af0e37b2f9a63;ef32ff24b7fdc47c25e956caac4ce7b9	ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/004/ERR3347014/ERR3347014_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/004/ERR3347014/ERR3347014_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/004/ERR3347014/ERR3347014_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/004/ERR3347014/ERR3347014_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347014/T384_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347014/T384_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR334/004/ERR3347014	
ERR3347015	PRJEB32675	SAMEA5625054	ERX3371589	408170	human gut metagenome	a86bac5d186e0bcdbcd531aa4ea3ddcb;dda023dd35c672f0a359990246bf3033	ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/005/ERR3347015/ERR3347015_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/005/ERR3347015/ERR3347015_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/005/ERR3347015/ERR3347015_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/005/ERR3347015/ERR3347015_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347015/T387_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347015/T387_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR334/005/ERR3347015	
ERR3347017	PRJEB32675	SAMEA5625056	ERX3371591	408170	human gut metagenome	b7e6952ff3127e1656c77a6bc3e0c55a;cc83935834b75a35936ae3f5738ce5dd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/007/ERR3347017/ERR3347017_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/007/ERR3347017/ERR3347017_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/007/ERR3347017/ERR3347017_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/007/ERR3347017/ERR3347017_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347017/T390_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347017/T390_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR334/007/ERR3347017	
ERR3347022	PRJEB32675	SAMEA5625061	ERX3371596	408170	human gut metagenome	42e8eb6fed9ab446a89840f4aaba514c;58547d47c5ab46c480e4341e4c9372b2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/002/ERR3347022/ERR3347022_1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/fastq/ERR334/002/ERR3347022/ERR3347022_2.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/002/ERR3347022/ERR3347022_1.fastq.gz;fasp.sra.ebi.ac.uk:/vol1/fastq/ERR334/002/ERR3347022/ERR3347022_2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347022/T89_R1.fastq.gz;ftp.sra.ebi.ac.uk/vol1/run/ERR334/ERR3347022/T89_R2.fastq.gz	ftp.sra.ebi.ac.uk/vol1/err/ERR334/002/ERR3347022	
