run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	bam_ftp
SRR26409623	PRJNA1028813	SAMN37852990	SRX22115230	408170	human gut metagenome	424dbc1e73e7eb54bceb30c03a61a77a	ftp.sra.ebi.ac.uk/vol1/fastq/SRR264/023/SRR26409623/SRR26409623.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR264/023/SRR26409623/SRR26409623.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR264/023/SRR26409623/SRR26409623.lite	
SRR26409624	PRJNA1028813	SAMN37852918	SRX22115229	408170	human gut metagenome	5cf8dbbfac778ff330bd9ac703df2853	ftp.sra.ebi.ac.uk/vol1/fastq/SRR264/024/SRR26409624/SRR26409624.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR264/024/SRR26409624/SRR26409624.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR264/024/SRR26409624/SRR26409624.lite	
SRR26409627	PRJNA1028813	SAMN37852987	SRX22115226	408170	human gut metagenome	e84ad8d39b405ce3b597f344b26f59e6	ftp.sra.ebi.ac.uk/vol1/fastq/SRR264/027/SRR26409627/SRR26409627.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR264/027/SRR26409627/SRR26409627.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR264/027/SRR26409627/SRR26409627.lite	
SRR26409631	PRJNA1028813	SAMN37852983	SRX22115222	408170	human gut metagenome	cfdbb82dd77cb6e3db7df5b8e96d0385	ftp.sra.ebi.ac.uk/vol1/fastq/SRR264/031/SRR26409631/SRR26409631.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR264/031/SRR26409631/SRR26409631.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR264/031/SRR26409631/SRR26409631.lite	
SRR26409633	PRJNA1028813	SAMN37852981	SRX22115220	408170	human gut metagenome	7ce0610951ce451366679d6ffcc3e502	ftp.sra.ebi.ac.uk/vol1/fastq/SRR264/033/SRR26409633/SRR26409633.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR264/033/SRR26409633/SRR26409633.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR264/033/SRR26409633/SRR26409633.lite	
SRR26409634	PRJNA1028813	SAMN37852980	SRX22115219	408170	human gut metagenome	03d11f2c05bbbfc837f8509e13491922	ftp.sra.ebi.ac.uk/vol1/fastq/SRR264/034/SRR26409634/SRR26409634.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR264/034/SRR26409634/SRR26409634.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR264/034/SRR26409634/SRR26409634.lite	
SRR26409635	PRJNA1028813	SAMN37852917	SRX22115218	408170	human gut metagenome	20e11645e731c9dd5a0c3663a52c161d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR264/035/SRR26409635/SRR26409635.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR264/035/SRR26409635/SRR26409635.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR264/035/SRR26409635/SRR26409635.lite	
SRR26409645	PRJNA1028813	SAMN37852970	SRX22115208	408170	human gut metagenome	2ddddadbca789b63b03fbf9c616ba40e	ftp.sra.ebi.ac.uk/vol1/fastq/SRR264/045/SRR26409645/SRR26409645.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR264/045/SRR26409645/SRR26409645.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR264/045/SRR26409645/SRR26409645.lite	
SRR26409646	PRJNA1028813	SAMN37852916	SRX22115207	408170	human gut metagenome	09154fe41079dfc1f181f60d43f032a8	ftp.sra.ebi.ac.uk/vol1/fastq/SRR264/046/SRR26409646/SRR26409646.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR264/046/SRR26409646/SRR26409646.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR264/046/SRR26409646/SRR26409646.lite	
SRR26409650	PRJNA1028813	SAMN37852966	SRX22115203	408170	human gut metagenome	b6d725ec42cd2793e40a21a718f89e3d	ftp.sra.ebi.ac.uk/vol1/fastq/SRR264/050/SRR26409650/SRR26409650.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/SRR264/050/SRR26409650/SRR26409650.fastq.gz		ftp.sra.ebi.ac.uk/vol1/srr/SRR264/050/SRR26409650/SRR26409650.lite	
