run_accession	study_accession	sample_accession	experiment_accession	tax_id	scientific_name	fastq_md5	fastq_ftp	fastq_aspera	submitted_ftp	sra_ftp	bam_ftp
ERR14656064	PRJEB86129	SAMEA117757230	ERX14057849	447426	human oral metagenome	90d28a42d673e5bc9d74aa260cb24ecb	ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/064/ERR14656064/ERR14656064.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR146/064/ERR14656064/ERR14656064.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14656064/14626.AD.S.004.R1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR146/064/ERR14656064/ERR14656064.bam
ERR14656071	PRJEB86129	SAMEA117757237	ERX14057856	447426	human oral metagenome	18842e9da00f70afd8f873e87e29c9ce	ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/071/ERR14656071/ERR14656071.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR146/071/ERR14656071/ERR14656071.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14656071/14626.AD.S.007C.R1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR146/071/ERR14656071/ERR14656071.bam
ERR14656073	PRJEB86129	SAMEA117757239	ERX14057858	447426	human oral metagenome	4e218b948e8f244aea05cd1b754f2cfd	ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/073/ERR14656073/ERR14656073.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR146/073/ERR14656073/ERR14656073.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14656073/14626.AD.S.008C.R1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR146/073/ERR14656073/ERR14656073.bam
ERR14656076	PRJEB86129	SAMEA117757242	ERX14057861	447426	human oral metagenome	ed5c4f6ab20c46727e424866c464b076	ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/076/ERR14656076/ERR14656076.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR146/076/ERR14656076/ERR14656076.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14656076/14626.AD.S.010.R1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR146/076/ERR14656076/ERR14656076.bam
ERR14656079	PRJEB86129	SAMEA117757245	ERX14057864	447426	human oral metagenome	82f036b9dc7cac6c9168a141e320c8df	ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/079/ERR14656079/ERR14656079.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR146/079/ERR14656079/ERR14656079.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14656079/14626.AD.S.012.R1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR146/079/ERR14656079/ERR14656079.bam
ERR14656081	PRJEB86129	SAMEA117757247	ERX14057866	447426	human oral metagenome	1fe59bcbfc92bde9626f104d194baf33	ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/081/ERR14656081/ERR14656081.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR146/081/ERR14656081/ERR14656081.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14656081/14626.AD.S.013.R1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR146/081/ERR14656081/ERR14656081.bam
ERR14656085	PRJEB86129	SAMEA117757251	ERX14057870	447426	human oral metagenome	9440f012d1f6561ba7c206a486da10f2	ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/085/ERR14656085/ERR14656085.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR146/085/ERR14656085/ERR14656085.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14656085/14626.AD.S.015.R1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR146/085/ERR14656085/ERR14656085.bam
ERR14656087	PRJEB86129	SAMEA117757253	ERX14057872	447426	human oral metagenome	ad3d8907dbdca155f9b95168810b935e	ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/087/ERR14656087/ERR14656087.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR146/087/ERR14656087/ERR14656087.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14656087/14626.AD.S.016.R1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR146/087/ERR14656087/ERR14656087.bam
ERR14656091	PRJEB86129	SAMEA117757257	ERX14057876	447426	human oral metagenome	fc0b01f69f460428e886c9345109eea4	ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/091/ERR14656091/ERR14656091.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR146/091/ERR14656091/ERR14656091.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14656091/14626.AD.S.019C.R1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR146/091/ERR14656091/ERR14656091.bam
ERR14656058	PRJEB86129	SAMEA117757224	ERX14057843	447426	human oral metagenome	6e32aefce005ee745390a70f8ed855fa	ftp.sra.ebi.ac.uk/vol1/fastq/ERR146/058/ERR14656058/ERR14656058.fastq.gz	fasp.sra.ebi.ac.uk:/vol1/fastq/ERR146/058/ERR14656058/ERR14656058.fastq.gz	ftp.sra.ebi.ac.uk/vol1/run/ERR146/ERR14656058/14626.AD.S.001.R1.fastq.gz		ftp.sra.ebi.ac.uk/vol1/err/ERR146/058/ERR14656058/ERR14656058.bam
